millis,stamp,datetime,light,temp,vcc
999,2945756190," ""2063/5/6 33:36:30""",1023,841.12, 
1998,2945756191," ""2063/5/6 33:36:31""",1023,841.12, 
3000,2945756192," ""2063/5/6 33:36:32""",1023,841.12, 
3998,2945756193," ""2063/5/6 33:36:33""",1023,841.12, 
5000,2945756194," ""2063/5/6 33:36:34""",1023,841.12, 
5999,2945756195," ""2063/5/6 33:36:35""",1023,841.12, 
6999,2945756196," ""2063/5/6 33:36:36""",1023,841.12, 
8000,2945756197," ""2063/5/6 33:36:37""",1023,841.12, 
8999,2945756198," ""2063/5/6 33:36:38""",1023,841.12, 
9998,2945756199," ""2063/5/6 33:36:39""",1023,841.12, 
10999,2945756200," ""2063/5/6 33:36:40""",1023,841.12, 
12000,2945756201," ""2063/5/6 33:36:41""",1023,841.12, 
12999,2945756202," ""2063/5/6 33:36:42""",1023,841.12, 
14000,2945756203," ""2063/5/6 33:36:43""",1023,841.12, 
14998,2945756204," ""2063/5/6 33:36:44""",1023,841.12, 
16000,2945756205," ""2063/5/6 33:36:45""",1023,841.12, 
16999,2945756206," ""2063/5/6 33:36:46""",1023,841.12, 
17999,2945756207," ""2063/5/6 33:36:47""",1023,841.12, 
19000,2945756208," ""2063/5/6 33:36:48""",1023,841.12, 
19999,2945756209," ""2063/5/6 33:36:49""",1023,841.12, 
20999,2945756210," ""2063/5/6 33:36:50""",1023,841.12, 
21998,2945756211," ""2063/5/6 33:36:51""",1023,841.12, 
23000,2945756212," ""2063/5/6 33:36:52""",1023,841.12, 
23999,2945756213," ""2063/5/6 33:36:53""",1023,841.12, 
24998,2945756214," ""2063/5/6 33:36:54""",1023,841.12, 
25999,2945756215," ""2063/5/6 33:36:55""",1023,841.12, 
26999,2945756216," ""2063/5/6 33:36:56""",1023,841.12, 
28000,2945756217," ""2063/5/6 33:36:57""",1023,841.12, 
28999,2945756218," ""2063/5/6 33:36:58""",1023,841.12, 
30000,2945756219," ""2063/5/6 33:36:59""",1023,841.12, 
30999,2945756220," ""2063/5/6 33:37:0""",1023,841.12, 
31998,2945756221," ""2063/5/6 33:37:1""",1023,841.12, 
32998,2945756222," ""2063/5/6 33:37:2""",1023,841.12, 
33999,2945756223," ""2063/5/6 33:37:3""",1023,841.12, 
34999,2945756224," ""2063/5/6 33:37:4""",1023,841.12, 
35999,2945756225," ""2063/5/6 33:37:5""",1023,841.12, 
37000,2945756226," ""2063/5/6 33:37:6""",1023,841.12, 
37999,2945756227," ""2063/5/6 33:37:7""",1023,841.12, 
38999,2945756228," ""2063/5/6 33:37:8""",1023,841.12, 
39999,2945756229," ""2063/5/6 33:37:9""",1023,841.12, 
40999,2945756230," ""2063/5/6 33:37:10""",1023,841.12, 
41999,2945756231," ""2063/5/6 33:37:11""",1023,841.12, 
42999,2945756232," ""2063/5/6 33:37:12""",1023,841.12, 
43999,2945756233," ""2063/5/6 33:37:13""",1023,841.12, 
44998,2945756234," ""2063/5/6 33:37:14""",1023,841.12, 
46000,2945756235," ""2063/5/6 33:37:15""",1023,841.12, 
46999,2945756236," ""2063/5/6 33:37:16""",1023,841.12, 
48000,2945756237," ""2063/5/6 33:37:17""",1023,841.12, 
48998,2945756238," ""2063/5/6 33:37:18""",1023,841.12, 
49999,2945756239," ""2063/5/6 33:37:19""",1023,841.12, 
50999,2945756240," ""2063/5/6 33:37:20""",1023,841.12, 
51999,2945756241," ""2063/5/6 33:37:21""",1023,841.12, 
53000,2945756242," ""2063/5/6 33:37:22""",1023,841.12, 
53998,2945756243," ""2063/5/6 33:37:23""",1023,841.12, 
55000,2945756244," ""2063/5/6 33:37:24""",1023,841.12, 
55999,2945756245," ""2063/5/6 33:37:25""",1023,841.12, 
56999,2945756246," ""2063/5/6 33:37:26""",1023,841.12, 
57999,2945756247," ""2063/5/6 33:37:27""",1023,841.12, 
58998,2945756248," ""2063/5/6 33:37:28""",1023,841.12, 
60000,2945756249," ""2063/5/6 33:37:29""",1023,841.12, 
60999,2945756250," ""2063/5/6 33:37:30""",1023,841.12, 
62000,2945756251," ""2063/5/6 33:37:31""",1023,841.12, 
62998,2945756252," ""2063/5/6 33:37:32""",1023,841.12, 
64000,2945756253," ""2063/5/6 33:37:33""",1023,841.12, 
64998,2945756254," ""2063/5/6 33:37:34""",1023,841.12, 
65999,2945756255," ""2063/5/6 33:37:35""",1023,841.12, 
67000,2945756256," ""2063/5/6 33:37:36""",1023,841.12, 
67999,2945756257," ""2063/5/6 33:37:37""",1023,841.12, 
68999,2945756258," ""2063/5/6 33:37:38""",1023,841.12, 
69998,2945756259," ""2063/5/6 33:37:39""",1023,841.12, 
71000,2945756260," ""2063/5/6 33:37:40""",1023,841.12, 
71999,2945756261," ""2063/5/6 33:37:41""",1023,841.12, 
72998,2945756262," ""2063/5/6 33:37:42""",1023,841.12, 
73999,2945756263," ""2063/5/6 33:37:43""",1023,841.12, 
74998,2945756264," ""2063/5/6 33:37:44""",1023,841.12, 
76000,2945756265," ""2063/5/6 33:37:45""",1023,841.12, 
76998,2945756266," ""2063/5/6 33:37:46""",1023,841.12, 
78000,2945756267," ""2063/5/6 33:37:47""",1023,841.12, 
78999,2945756268," ""2063/5/6 33:37:48""",1023,841.12, 
80000,2945756269," ""2063/5/6 33:37:49""",1023,841.12, 
80999,2945756270," ""2063/5/6 33:37:50""",1023,841.12, 
81998,2945756271," ""2063/5/6 33:37:51""",1023,841.12, 
82999,2945756272," ""2063/5/6 33:37:52""",1023,841.12, 
83999,2945756273," ""2063/5/6 33:37:53""",1023,841.12, 
85000,2945756274," ""2063/5/6 33:37:54""",1023,841.12, 
85998,2945756275," ""2063/5/6 33:37:55""",1023,841.12, 
87000,2945756276," ""2063/5/6 33:37:56""",1023,841.12, 
87999,2945756277," ""2063/5/6 33:37:57""",1023,841.12, 
88999,2945756278," ""2063/5/6 33:37:58""",1023,841.12, 
89999,2945756279," ""2063/5/6 33:37:59""",1023,841.12, 
90998,2945756280," ""2063/5/6 33:38:0""",1023,841.12, 
92000,2945756281," ""2063/5/6 33:38:1""",1023,841.12, 
92999,2945756282," ""2063/5/6 33:38:2""",1023,841.12, 
94000,2945756283," ""2063/5/6 33:38:3""",1023,841.12, 
94999,2945756284," ""2063/5/6 33:38:4""",1023,841.12, 
96000,2945756285," ""2063/5/6 33:38:5""",1023,841.12, 
97000,2945756286," ""2063/5/6 33:38:6""",1023,841.12, 
97999,2945756287," ""2063/5/6 33:38:7""",1023,841.12, 
99000,2945756288," ""2063/5/6 33:38:8""",1023,841.12, 
99998,2945756289," ""2063/5/6 33:38:9""",1023,841.12, 
101000,2945756290," ""2063/5/6 33:38:10""",1023,841.12, 
101999,2945756291," ""2063/5/6 33:38:11""",1023,841.12, 
102999,2945756292," ""2063/5/6 33:38:12""",1023,841.12, 
103999,2945756293," ""2063/5/6 33:38:13""",1023,841.12, 
104998,2945756294," ""2063/5/6 33:38:14""",1023,841.12, 
106000,2945756295," ""2063/5/6 33:38:15""",1023,841.12, 
106998,2945756296," ""2063/5/6 33:38:16""",1023,841.12, 
108000,2945756297," ""2063/5/6 33:38:17""",1023,841.12, 
108999,2945756298," ""2063/5/6 33:38:18""",1023,841.12, 
109999,2945756299," ""2063/5/6 33:38:19""",1023,841.12, 
110999,2945756300," ""2063/5/6 33:38:20""",1023,841.12, 
111998,2945756301," ""2063/5/6 33:38:21""",1023,841.12, 
112998,2945756302," ""2063/5/6 33:38:22""",1023,841.12, 
113999,2945756303," ""2063/5/6 33:38:23""",1023,841.12, 
115000,2945756304," ""2063/5/6 33:38:24""",1023,841.12, 
115999,2945756305," ""2063/5/6 33:38:25""",1023,841.12, 
116999,2945756306," ""2063/5/6 33:38:26""",1023,841.12, 
117999,2945756307," ""2063/5/6 33:38:27""",1023,841.12, 
