millis,stamp,datetime,light,temp,vcc
2000, 1273007391, "2010/5/4 21:9:51", 233, 80.97, 3.54
3000, 1273007392, "2010/5/4 21:9:52", 235, 80.97, 3.99
4000, 1273007393, "2010/5/4 21:9:53", 236, 80.97, 4.04
5000, 1273007394, "2010/5/4 21:9:54", 235, 80.97, 4.04
6000, 1273007395, "2010/5/4 21:9:55", 236, 80.97, 4.05
7000, 1273007396, "2010/5/4 21:9:56", 242, 80.97, 4.05
8000, 1273007397, "2010/5/4 21:9:57", 328, 80.97, 4.05
9000, 1273007398, "2010/5/4 21:9:58", 330, 80.97, 4.04
10000, 1273007399, "2010/5/4 21:9:59", 343, 80.97, 3.99
11000, 1273007400, "2010/5/4 21:10:0", 368, 80.97, 4.08
12000, 1273007401, "2010/5/4 21:10:1", 567, 80.97, 4.05
13000, 1273007402, "2010/5/4 21:10:2", 521, 80.97, 4.05
14000, 1273007403, "2010/5/4 21:10:3", 520, 80.97, 4.05
15000, 1273007404, "2010/5/4 21:10:4", 520, 80.97, 4.05
16000, 1273007405, "2010/5/4 21:10:5", 519, 80.97, 4.05
17000, 1273007406, "2010/5/4 21:10:6", 520, 80.97, 4.05
18000, 1273007407, "2010/5/4 21:10:7", 520, 80.97, 4.05
19000, 1273007408, "2010/5/4 21:10:8", 520, 80.97, 4.01
20000, 1273007409, "2010/5/4 21:10:9", 524, 80.97, 4.10
21000, 1273007410, "2010/5/4 21:10:10", 219, 80.97, 4.05
22000, 1273007411, "2010/5/4 21:10:11", 136, 80.97, 4.05
23000, 1273007412, "2010/5/4 21:10:12", 73, 80.97, 4.05
24000, 1273007413, "2010/5/4 21:10:13", 73, 80.97, 4.04
25000, 1273007414, "2010/5/4 21:10:14", 70, 80.97, 4.04
26000, 1273007415, "2010/5/4 21:10:15", 68, 80.97, 4.04
27000, 1273007416, "2010/5/4 21:10:16", 68, 80.97, 4.05
28000, 1273007417, "2010/5/4 21:10:17", 68, 81.56, 3.99
29000, 1273007418, "2010/5/4 21:10:18", 63, 81.56, 4.08
